이름,관계,A(세력),A(신격),B(세력),B(신격),쟁점(한 줄),세션 징후,공개 수준
에리디안 제국 ↔ 에테르나 공화국,대립,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,에테르나 공화국 (https://app.notion.com/p/33a3ce531dea802e8273cf000a0d2838?pvs=21),,물자 동원 vs 가격/항로 주도권,"통행세·관세, 창고 봉쇄, 호송대 습격(배후 의심)",부분 공개
연맹 ↔ 공포의 의회,전쟁,위그드라실 연맹 (https://app.notion.com/p/1ff2ba57fcaf4d5eb4be3b8692f0793a?pvs=21),,공포의 의회 (https://app.notion.com/p/33a3ce531dea803193e5d3a0ada8d867?pvs=21),,문명권 유지 vs 내부 붕괴,"규약 강화, 이단 토벌, 배후 공작 역공",부분 공개
에리디안 제국 ↔ 아르카 마법 연합,견제,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,아르카 마법 연합 (https://app.notion.com/p/33a3ce531dea80b883fef5ddc9f66ab2?pvs=21),,국가 통제 vs 연구/정보 독점,"호송 계약, 사고 은폐 논쟁, 관측 자료 압수 시도",부분 공개
룬다르 신성 제국 ↔ 공포의 의회,전쟁,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,공포의 의회 (https://app.notion.com/p/33a3ce531dea803193e5d3a0ada8d867?pvs=21),,정화 권위 vs 잠식 교리,"심문/정화 의식, 성소 피습, 내부 잠복 색출",부분 공개
룬다르 신성 제국 ↔ 에리디안 제국,우호,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,교권 명분과 행정 실무의 동맹,"공동 성명, 그러나 지휘권으로 마찰",공개
자유 탐사 연맹 ↔ 위그드라실 연맹,우호,자유 탐사 연맹 (https://app.notion.com/p/3323ce531dea807c8649ce973b2e1d27?pvs=21),,위그드라실 연맹 (https://app.notion.com/p/1ff2ba57fcaf4d5eb4be3b8692f0793a?pvs=21),,현장 자율 vs 연맹 규약/통제,"신분/기록 요구, 의뢰 제한, 거점 운영권 줄다리기",부분 공개
아이언포지 연맹 ↔ 에테르나 공화국,대립,아이언포지 연맹 (https://app.notion.com/p/33a3ce531dea80198da6fdfddf42bff2?pvs=21),,에테르나 공화국 (https://app.notion.com/p/33a3ce531dea802e8273cf000a0d2838?pvs=21),,제련/광산 공급 vs 유통/가격 조작,"파업·폭동, 납품 지연, 암시장 물량 추적",부분 공개
펠가르드 연맹 ↔ 위그드라실 연맹,견제,펠가르드 연맹 (https://app.notion.com/p/33a3ce531dea80249a5bdec43cecf308?pvs=21),,위그드라실 연맹 (https://app.notion.com/p/1ff2ba57fcaf4d5eb4be3b8692f0793a?pvs=21),,규약 준수 vs 북방 항로 자율,"검문 거부, 전선 지원 대가 협상, 군사 시위",부분 공개
시지아스 교단 ↔ 발타스 교단,견제,,"전쟁과 전술, 책략의 신 시지아스 (https://app.notion.com/p/0336aee56a5d4f26b3ff444320c1315e?pvs=21)",,"모험과 귀환, 개척의 신 발타스 (https://app.notion.com/p/fbfd0eb22df84c77b77115430b1e9998?pvs=21)",필요한 희생/승리 논리 vs 귀환/생존 규율,"무리한 출정 명령, 구조 우선순위 갈등, 영웅화 선전",부분 공개
유스토르 교단 ↔ 발타스 교단(탐사 규약파),견제,,질서와 법률의 신 유스토르 (https://app.notion.com/p/e6666eebe32e409db9a7c3a010c4d3cd?pvs=21),,"모험과 귀환, 개척의 신 발타스 (https://app.notion.com/p/fbfd0eb22df84c77b77115430b1e9998?pvs=21)",법/통제 우선 vs 현장 자율(모험가 관습),"면허·통행증·수색권 논쟁, 현장 제재/구금(명분: 치안)",부분 공개
칼림보르 교단 ↔ 프레티아 교단,대립,,드워프와 대장장이의 신 칼림보르 (https://app.notion.com/p/34d3ce531dea80f4a87bc8d5f0d53765?pvs=21),,"교역과 항로, 상단의 여신 프레티아 (https://app.notion.com/p/a9c127e1c031436da54efc227d2cbf18?pvs=21)",생산(제련/제작) vs 유통(가격/계약),"납품 단가 파탄, 조합 파업, 계약 파기 소동",부분 공개
프레티아 교단 ↔ 시지아스 교단,견제,,"교역과 항로, 상단의 여신 프레티아 (https://app.notion.com/p/a9c127e1c031436da54efc227d2cbf18?pvs=21)",,"전쟁과 전술, 책략의 신 시지아스 (https://app.notion.com/p/0336aee56a5d4f26b3ff444320c1315e?pvs=21)",물류/시장 안정 vs 전시 동원/우선순위,"호송 경로·물자 배분 다툼, 군수 우선 행정명령",부분 공개
위그드라실 계열 교단 ↔ 공포의 의회,전쟁,,"생명과 질서의 빛, 세계수의 여신 위그드라실 (https://app.notion.com/p/3503ce531dea80e5b497c1a86fc2775c?pvs=21)",,"공포와 허기, 검은 안개의 신 앙그라 (https://app.notion.com/p/3503ce531dea80f793d5e0d3d4469da8?pvs=21)",봉합/정화 vs 침식/균열,"정화 의식 방해, 성물 훼손, ‘이단’ 낙인과 보복",부분 공개
룬다르 신성 제국 ↔ 녹티스 교단,전쟁,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,,그림자와 도둑의 신 녹티스 (https://app.notion.com/p/34a3ce531dea803c88f5f8c069d93239?pvs=21),공공 정화/드러냄 vs 은폐/그림자 거래,"야간 단속, 암거래 처형, 고해성사 자료 유출 사건",부분 공개
에테르나 공화국 ↔ 공포의 의회,견제,에테르나 공화국 (https://app.notion.com/p/33a3ce531dea802e8273cf000a0d2838?pvs=21),,공포의 의회 (https://app.notion.com/p/33a3ce531dea803193e5d3a0ada8d867?pvs=21),,신용/물류 체계 vs 잠식/불신 확산,"상단 내부 고발전, 위조 문서, 가격 폭등 배후 추적",부분 공개
어둠의 신성 왕국 에레보스 ↔ 룬다르 신성 제국,견제,어둠의 신성 왕국 에레보스 (https://app.notion.com/p/33a3ce531dea80938ac1dce253e18592?pvs=21),,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,‘어둠은 안식’ 해석 vs ‘어둠은 위험’ 경계,"성소 관할권 분쟁, 야간 통행 규정, 공동 정화식 파행",부분 공개
불의 신성 왕국 아그니르 ↔ 불카르칸 계열,대립,불의 신성 왕국 아그니르 (https://app.notion.com/p/33a3ce531dea8060b9a0db3f968c4920?pvs=21),,,화산의 신 불카르칸 (https://app.notion.com/p/3483ce531dea805e874af576152b863d?pvs=21),정화/통제된 불 vs 파괴/분출의 불,"화재 사고 해석 충돌, 제련로 폭발, 이단 단죄",부분 공개
강철 제국 데우스 ↔ 생명의 신성 왕국 실바니아,대립,강철 제국 데우스 (https://app.notion.com/p/33a3ce531dea80c986ade00e12635044?pvs=21),,생명의 신성 왕국 실바니아 (https://app.notion.com/p/33a3ce531dea80e591a1e4c1d508b2d0?pvs=21),,굴착/개발 vs 보존/생태,"광산 개발 분쟁, 성림 훼손 사건, 국경 충돌",부분 공개
룬다르 신성 제국 ↔ 프레티아 교단(상단 성소),견제,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,,"교역과 항로, 상단의 여신 프레티아 (https://app.notion.com/p/a9c127e1c031436da54efc227d2cbf18?pvs=21)",‘신성’의 정의: 정화/구휼 vs 거래/항로,"성금·관세 갈등, 항로 성소 감독권 분쟁",부분 공개
룬다르 신성 제국 ↔ 유스토르 교단(법정 사제단),우호,룬다르 신성 제국 (https://app.notion.com/p/33a3ce531dea80029a91ea39eae9dc3e?pvs=21),,,질서와 법률의 신 유스토르 (https://app.notion.com/p/e6666eebe32e409db9a7c3a010c4d3cd?pvs=21),정화 권위와 법 권위의 동맹,"공동 심문, 그러나 신성 재판 관할로 충돌",공개
에리디안 제국 ↔ 프레티아 교단,대립,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,,"교역과 항로, 상단의 여신 프레티아 (https://app.notion.com/p/a9c127e1c031436da54efc227d2cbf18?pvs=21)",전시 물자 통제 vs 항로/시장 자율,"징발 영장, 항구 봉쇄, 상단 반발 소문",부분 공개
에리디안 제국 ↔ 유스토르 교단,우호,에리디안 제국 (https://app.notion.com/p/b60ba58ba8394200ac98f529ac127f0c?pvs=21),,,질서와 법률의 신 유스토르 (https://app.notion.com/p/e6666eebe32e409db9a7c3a010c4d3cd?pvs=21),치안·법률 기반의 국가 운영,"특별법 공포, 검문 강화, 구금 시설 확장",공개
에테르나 공화국 ↔ 프레티아 교단,우호,에테르나 공화국 (https://app.notion.com/p/33a3ce531dea802e8273cf000a0d2838?pvs=21),,,"교역과 항로, 상단의 여신 프레티아 (https://app.notion.com/p/a9c127e1c031436da54efc227d2cbf18?pvs=21)",교역 신앙의 국가화,"신전이 곧 거래소, 성소가 창고를 관리",공개
에테르나 공화국 ↔ 유스토르 교단(엄격법파),견제,에테르나 공화국 (https://app.notion.com/p/33a3ce531dea802e8273cf000a0d2838?pvs=21),,,질서와 법률의 신 유스토르 (https://app.notion.com/p/e6666eebe32e409db9a7c3a010c4d3cd?pvs=21),상업 관습 vs 법률 통제,"계약 무효 소송, 불법 이자 단속, 상단 압수수색",부분 공개
아이언포지 연맹 ↔ 칼림보르 교단,우호,아이언포지 연맹 (https://app.notion.com/p/33a3ce531dea80198da6fdfddf42bff2?pvs=21),,,드워프와 대장장이의 신 칼림보르 (https://app.notion.com/p/34d3ce531dea80f4a87bc8d5f0d53765?pvs=21),제작 윤리/대장간 규율의 결속,"조합 통일 규약, 기술자 파견, 성물(도구) 제작",공개
아이언포지 연맹 ↔ 르기안 교단(토대/감리),견제,아이언포지 연맹 (https://app.notion.com/p/33a3ce531dea80198da6fdfddf42bff2?pvs=21),,,대지의 신 르기안 (https://app.notion.com/p/3463ce531dea80f8a077d94861fea265?pvs=21),굴착 속도 vs 붕괴/안전,"갱도 붕괴 조사, 공사 중단 명령, 감리 사제 살해 사건",부분 공개
어둠의 신성 왕국 에레보스 ↔ 녹티스 교단,우호,어둠의 신성 왕국 에레보스 (https://app.notion.com/p/33a3ce531dea80938ac1dce253e18592?pvs=21),,,그림자와 도둑의 신 녹티스 (https://app.notion.com/p/34a3ce531dea803c88f5f8c069d93239?pvs=21),‘어둠의 자비’와 ‘그림자의 기술’의 결탁,"정보상/도둑 길드 보호, 반대파 암살 의혹",비공개
어둠의 신성 왕국 에레보스 ↔ 공포의 의회,전쟁,어둠의 신성 왕국 에레보스 (https://app.notion.com/p/33a3ce531dea80938ac1dce253e18592?pvs=21),,공포의 의회 (https://app.notion.com/p/33a3ce531dea803193e5d3a0ada8d867?pvs=21),,‘숨김’의 윤리 vs ‘잠식’의 강요,"피난민 보호를 둘러싼 분열 공작, 성소 내 변질 사건",부분 공개
팔라기아 교단 ↔ 볼로고르 교단,전쟁,,"전쟁과 방패, 수호의 여신 팔라기아 (https://app.notion.com/p/851e6e871ba74ca5b95b81a17652e7a4?pvs=21)",,"전쟁과 정복, 포학의 신 볼로고르 (https://app.notion.com/p/34f3ce531dea808dae69dfb28ed62776?pvs=21)",수호의 전쟁 vs 정복의 전쟁,"포로 학살, 방벽 도시 공성, ‘명예로운 살육’ 선전",부분 공개
하르비아 교단 ↔ 우르투스 교단,전쟁,,풍요와 농경의 여신 하르비아 (https://app.notion.com/p/34c3ce531dea8086bda0c52dba2c2e41?pvs=21),,가뭄과 기근의 신  우르투스 (https://app.notion.com/p/34c3ce531dea800f89b0cbd164b82920?pvs=21),곡창 보호 vs 기근 유발,"곡물 창고 방화, 수로 오염, 배급 폭동 조작",부분 공개
이리디아 교단 ↔ 유스토르 교단(치안),견제,,"비와 눈, 폭풍우의 여신 이리디아 (https://app.notion.com/p/34c3ce531dea80329225f92b40eb997a?pvs=21)",,질서와 법률의 신 유스토르 (https://app.notion.com/p/e6666eebe32e409db9a7c3a010c4d3cd?pvs=21),재난은 버텨야 함 vs 재난은 통제해야 함,"피난 정책 충돌, 해상 봉쇄, 폭풍 예언자 체포",부분 공개
그녹시아스 교단 ↔ 아르카 마법 연합,견제,,지식과 지혜의 신 그녹시아스 (https://app.notion.com/p/3483ce531dea80928980cbd179f1cb49?pvs=21),아르카 마법 연합 (https://app.notion.com/p/33a3ce531dea80b883fef5ddc9f66ab2?pvs=21),,기록의 공개/보존 vs 연구의 독점/검열,"금서 지정, 도서관 방화, 연구 일지 탈취",부분 공개
카르바넬 왕국 ↔ 강철 제국 데우스,전쟁,카르바넬 왕국 (https://app.notion.com/p/5e6700af1be345c5b8c5687d257cf290?pvs=21),,강철 제국 데우스 (https://app.notion.com/p/33a3ce531dea80c986ade00e12635044?pvs=21),,정복·흡수 방식과 패권을 둘러싼 상시 충돌,칼디라 전선에서 점령지 재편·인질 체계·전리 행정이 반복되며 데우스의 확장과 자주 충돌,비공개
카르바넬 왕국 ↔ 불의 신성 왕국 아그니르,견제,카르바넬 왕국 (https://app.notion.com/p/5e6700af1be345c5b8c5687d257cf290?pvs=21),,불의 신성 왕국 아그니르 (https://app.notion.com/p/33a3ce531dea8060b9a0db3f968c4920?pvs=21),,신성 왕국의 질서·성역 vs 카르바넬의 점령 의식·노예제 충돌,"국경 분쟁이 ‘성역 모독/정복 의식’ 논쟁으로 번지며, 포로·노예 처리 방식이 외교 문제로 비화",부분 공개
카르바넬 왕국 ↔ 아크나톤 제국,대립,카르바넬 왕국 (https://app.notion.com/p/5e6700af1be345c5b8c5687d257cf290?pvs=21),,아크나톤 제국 (https://app.notion.com/p/33a3ce531dea80e58c65f24d3110a904?pvs=21),,정통성·상징의 제국 vs 결과만 남기는 흡수 왕국의 패권 충돌,"점령지에서 아크나톤의 기념비·의례·기록을 훼손/재정의하려는 시도가 반복되고, 아크나톤은 ‘제국의 모욕’으로 규정",비공개
옥황 ↔ 천마,대립,,"천명의 주재자, 하늘 질서의 신 옥황 (https://app.notion.com/p/1b60fa8f268b4e319788909337dfdfdf?pvs=21)",,"만마의 주인, 역천의 신 천마 (https://app.notion.com/p/874ed76f0e644a0b8b8bebe4ab9905b5?pvs=21)",천명·왕조 정통성 vs 인간 역천(무림),"이단 심문 강화, 무림 문파 숙청·도피, 천마신교 확산",비공개
일륜천후 ↔ 현야신군,대립,,"백염의 주인, 태양과 정화의 여신 일륜천후 (https://app.notion.com/p/5fefbbacf3824c5f94515a9f837d938e?pvs=21)",,"검은 밤의 파수자, 어둠과 비밀의 신 현야신군 (https://app.notion.com/p/3dbc3a3b24c44c0cb0f0716fbbfe6565?pvs=21)",정화·드러냄의 권위 vs 은폐·비밀의 필요,"야간 단속·숙청 vs 비밀 결사 반발, ‘정화’ 명분의 정치공작",부분 공개
청룡대제 ↔ 해뢰군,대립,,"비구름의 군주, 강과 풍요의 신 청룡대제 (https://app.notion.com/p/27e0c94b6257493db4d10f0f7004e606?pvs=21)",,"성난 파도의 장수, 폭풍과 해전의 신 해뢰군 (https://app.notion.com/p/4d8cd8d7d35b40e09f7cd227fd259bfc?pvs=21)",치수·순환의 안정 vs 폭풍·격변의 정당화,"우제·치수 강화, 해상 격변을 둘러싼 ‘신의 뜻’ 논쟁",공개
창문성군 ↔ 현야신군,견제,,"만권의 기록자, 문자와 지식의 신 창문성군 (https://app.notion.com/p/422762ecb75249a398203667845c43bf?pvs=21)",,"검은 밤의 파수자, 어둠과 비밀의 신 현야신군 (https://app.notion.com/p/3dbc3a3b24c44c0cb0f0716fbbfe6565?pvs=21)",기록·보존 vs 봉인·삭제·은폐,"금서·비밀문서 유출, 기록소 방화, ‘기록 조작’ 고발전",비공개
옥황 ↔ 염라,우호,,"천명의 주재자, 하늘 질서의 신 옥황 (https://app.notion.com/p/1b60fa8f268b4e319788909337dfdfdf?pvs=21)",,"명부의 재판관, 죽음과 윤회의 신 염라 (https://app.notion.com/p/37c33d11a083455d9b5f8edc3a60a245?pvs=21)",생전 질서의 승인 vs 사후 심판의 독립성,"황실 특사도 장례 규율 앞에서 예외 불가, 명부원-조정 갈등",부분 공개
법도천군 ↔ 천마,대립,,"맹세의 집행자, 법과 형벌의 신 법도천군 (https://app.notion.com/p/db31984dfc7e41c0944bf663701406c1?pvs=21)",,"만마의 주인, 역천의 신 천마 (https://app.notion.com/p/874ed76f0e644a0b8b8bebe4ab9905b5?pvs=21)",법·맹약·형벌의 집행 vs ‘힘으로 길을 연다’는 역천,"무림의 규율 논쟁, 교단 내부 숙청, 비무 규칙 붕괴 사건",부분 공개
염라 ↔ 천마,견제,,"명부의 재판관, 죽음과 윤회의 신 염라 (https://app.notion.com/p/37c33d11a083455d9b5f8edc3a60a245?pvs=21)",,"만마의 주인, 역천의 신 천마 (https://app.notion.com/p/874ed76f0e644a0b8b8bebe4ab9905b5?pvs=21)",사후 명부·윤회 질서 vs 경지로 면책하려는 유혹,"사령술/마공 단죄, ‘죽음조차 돌파’ 루머 확산, 명부원 조사",비공개
암향신군 ↔ 일륜천후,대립,,"피맹세의 추적자, 원한과 복수의 신 암향신군 (https://app.notion.com/p/02ac728e29844c2dbe2667ce165be046?pvs=21)",,"백염의 주인, 태양과 정화의 여신 일륜천후 (https://app.notion.com/p/5fefbbacf3824c5f94515a9f837d938e?pvs=21)",사적 복수·은밀한 처단 vs 정화·공적 심판의 권위,"복수전의 ‘정화’ 명분화, 야간 처형, 무고·조작 사건",비공개
무령할미 ↔ 법도천군,견제,,"혼길의 중재자, 무속과 접신의 여신 무령할미 (https://app.notion.com/p/e88f2357124045b985e75b35c52df073?pvs=21)",,"맹세의 집행자, 법과 형벌의 신 법도천군 (https://app.notion.com/p/db31984dfc7e41c0944bf663701406c1?pvs=21)",민간 굿·치유·중재 vs 법·형벌로의 정리,"무당 탄압/보호 논쟁, 원혼 사건의 관할권 싸움",부분 공개